Test Name,NumberOfAsserts,NumberOfFailedAsserts
Test 1,32,2
Test 2,31,5
Test 3,27,4
Test 4,14,5
Test 5,14,4
Test 6,22,1
Test 7,47,3
Test 8,26,0
Test 9,12,5
Test 10,8,5
Test 11,34,2
Test 12,40,2
Test 13,24,2
Test 14,2,0
Test 15,46,3
Test 16,8,3
Test 17,44,1
Test 18,49,0
Test 19,26,3
Test 20,25,5
Test 21,13,1
Test 22,9,4
Test 23,41,1
Test 24,30,0
Test 25,33,4
Test 26,23,3
Test 27,13,4
Test 28,40,1
Test 29,33,0
Test 30,18,0
Test 31,27,1
Test 32,33,4
Test 33,1,0
Test 34,18,5
Test 35,12,1
Test 36,31,1
Test 37,50,4
Test 38,4,4
Test 39,31,4
Test 40,8,0
